Variable / Field Name,Field Label,Candidate / No Candidate,Inclusion / Exclusion Criteria,Leak / No Leak,Date / No Date,Engineered / Not Engineered,Form Name,sub-category,Field Type
age,Age from ICI Start,Candidate,No Criteria,No Leak,No Date,Engineered,,,
aid_active,Is this patients autoimmune disease active?,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Other,yesno
aid_hx,Does this patient have a history of autoimmune disease?,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Other,yesno
aid_othertherapy,Mention Other therapies,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
aid_steroid_dose,Dose of steroids,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
aid_steroids,"If active, does this patient currently take steroids?",Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Other,yesno
aid_type,Which autoimmune condition does this patient have?,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Other,checkbox
alive,Is the patient alive?,No Candidate,No Criteria,Leak,No Date,Not Engineered,baseline_demographics,,yesno
aml_subtype,AML subtype,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,checkbox
antibio_tx,List out the antibiotic used,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
antiemetic_tx,List out the anti-emetic drugs used,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
antifungal_tx,List out the antifungal drugs used,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
antiviral_tx,List out the antiviral drugs used,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
asth_posteroid_dose,Specify dose of PO steroid,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
asth_posteroids,Is this patient on PO steroids?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,yesno
asth_steroiddose,Specify the dose of the steroid,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
asth_steroidinhale,On inhaled steroids,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,yesno
asth_steroidtypeinh,"If yes, specify type of steroid",Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
asth_steroidtypeoral,"If yes, specify type of steroid",Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,radio
best_response,Best response as per investigator,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,radio
best_response_date_inv,Date of best response as per investigator,No Candidate,No Criteria,Leak,Date,Not Engineered,treatment_with_immunotherapy,,text
best_response_date_recist,Date of best response as per RECIST,No Candidate,No Criteria,Leak,Date,Not Engineered,treatment_with_immunotherapy,,text
best_response_recist,Best response as per RECIST,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,radio
brain_mets_location,Location,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,checkbox
brain_mets_treated_before,Was any brain metastasis treated before beginning of I-O therapy?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
brainmets_baseline_ldh,Baseline LDH,Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,text
brainmets_baseline_ldh_uln,Upper limit of normal (ULN) of LDH,Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,text
brainmets_neuro_symptoms,"Neuro Symptoms - Headaches, weakness, or paresthesia",No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
brainmets_new_prg_disc_io,Did the patient develop any new brain mets or his existing brain mets progressed after discontinuing I-O therapy?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
brainmets_tx_duringio_yn,Was there a new brain mets treated during I-O therapy?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
brainmets_tx_duringio_yn_2,Was there an additional brain mets treated during I-O therapy?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
brainmets_tx_duringio_yn_3,Was there an additional brain mets treated during I-O therapy?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
cardiactox_grade,Grade of cardiac toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
cardiactox_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
cardiactox_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
cardiactox_res,Date of Resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
