"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mrn,baseline_demographics,,text,MRN,,,,,,y,,,,,,,
full_name,baseline_demographics,,text,"Patient Full Name",,,,,,y,,,,,,,
firstname,baseline_demographics,,text,"Patient First name",,,,,,y,,,,,,,
lastname,baseline_demographics,,text,"Patient Last Name",,,,,,y,,,,,,,
institute,baseline_demographics,,dropdown,Institute,"1, GUH: MedStar Georgetown University Hospital | 2, WHC: MedStar Washington Hospital Center | 3, FSH: MedStar Franklin Square Hospital | 4, GSH: MedStar Good Samaritan Hospital | 5, UMH: MedStar Union Memorial Hospital | 6, JTCC: John Theurer Cancer Center | 7, PMC : Palisades Medical Center",,,,,,,,,,,,
mrn_aria,baseline_demographics,,text,"Full MRN",,,,,,y,,,,,,,
race,baseline_demographics,,radio,Race,"1, White | 2, Black or African America | 3, Asian | 4, Native Hawaiian or Other Pacific Islander | 5, American Indian or Alaska Native | 6, Not Specified/Unknown | 7, Other",,,,,,,,,,,,
ethnicity,baseline_demographics,,radio,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 3, Unknown",,,,,,,,,,,,
gender,baseline_demographics,,radio,Gender,"1, Male | 2, Female | 3, Not Specified",,,,,,,,,,,,
county,baseline_demographics,,text,County,,,,,,,,,,,,,
state,baseline_demographics,,text,State,,,,,,,,,,,,,
dob,baseline_demographics,,text,"Date of Birth",,,date_mdy,,,,,,,,,,
alive,baseline_demographics,,yesno,"Is the patient alive?",,,,,,,,,,,,,
dod,baseline_demographics,,text,"Date of Death",,,date_mdy,,,,"[alive] = '0'",,,,,,
gravida,baseline_demographics,"Pregnancy Hx",text,"Number of times this patient has been pregnant",,gravida,integer,0,,,"[gender] = '2'",,,,,,
para,baseline_demographics,,text,"Number of times this patient has successfully delivered a live baby",,para,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
first_birth_age,baseline_demographics,,text,"Age of patient at the time of the birth of her first child
",,,,,,,"[gender] = '2' and [gravida] > 0 and [para] > 0",,,,,,
miscarriages,baseline_demographics,,radio,"Number of miscarriages","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more | 5, Unknown",,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
stillbirths,baseline_demographics,,radio,"Number of stillbirths","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more | 5, Unknown",,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
no_abortions,baseline_demographics,,text,"Number of abortions",,,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
smoking_hist,baseline_demographics,Smoking,radio,"Smoking History","1, Never Smoked | 2, Occasional Smoking | 3, Previously Smoked, but Quit | 4, Active Smoker | 5, Unknown",,,,,,,,,,,,
packs_per_day,baseline_demographics,,text,"Number of packs smoked per day",,,,,,,"[smoking_hist] = '4' or [smoking_hist] = '2' or [smoking_hist] = '3' or [smoking_hist] = '5'",,,,,,
